AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code ,Council District,Total Units,Total Affordable Units,Total PSH Units ,Unit Type,Tenure,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Fee in Lieu Status,Calculated Fee In Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,RHDA ,OHDA,PA Bond ,CLT,DDB,ERC,MDA,MUD,MUDB,NBG,PUDDA,PUDDB,RNY,SMART,SMART-GF,TOD,UNO,VMU,VOL,2006 GO Bond ,2013 GO Bond,CDBG,HOME,HTF,CIP,UNO TF ,Total City Funding ,LIHTC ,Longitude,Latitude,Location
301,3816,Colony Park (PUD),Austin Housing Finance Corporation,Austin Housing Finance Corporation,0 Loyola,"78,724",1,"2,027",405,,Multifamily,Rental,Certified/Loan Executed,,,40,None,,0,0,0,405,0,0,"1,622",No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.633418,30.295864,"(30.295864, -97.633418)"
239,3620,Corazon,"Corazon Urban MF-East, LP","Corazon Urban MF-East, LP",1000 E 5th Street,"78,702",3,332,35,,Multifamily,Rental,Project Completed,2015,2055,40,None,,0,0,0,35,0,0,297,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,0,N/A,-97.732261,30.26434589,"(30.26434589, -97.732261)"
372,3959,Amli Eastside,"Riata Partners, LLC","Robertson Hill Land, Ltd.",1000 San Marcos Street,"78,702",1,290,29,,Multifamily,Rental,Project Completed,2016,2021,5,None,0,0,0,0,0,0,29,261,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.731273,30.268964,"(30.268964, -97.731273)"
650,5560,Domain Office Tower 3,SL Domain LP,SL Domain LP,10025 Alterra Pkwy,"78,758",7,0,0,0,Non-Residential,Non-Residential,Application Received,,,0,Pending,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,,,
55,3313,1002 Navasota,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Navasota,"78,702",1,1,1,,Single Family,Rental,Project Completed,2001,2021,20,None,,0,0,0,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"25,000.00",0,0,0,"25,000.00",N/A,-97.72672043,30.26771857,"(30.26771857, -97.72672043)"
12,3239,1002 Wheeless Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Wheeless Street,"78,702",1,2,2,,Duplex,Rental,Project Completed,2007,2027,20,None,,0,0,0,2,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,"60,000.00",0,0,0,"60,000.00",N/A,-97.72775965,30.26797186,"(30.26797186, -97.72775965)"
55,3314,1007 Waller Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1007 Waller Street,"78,702",1,1,1,,Single Family,Rental,Project Completed,2001,2021,20,None,,0,0,0,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"25,000.00",0,0,0,"25,000.00",N/A,-97.7292821,30.26864625,"(30.26864625, -97.7292821)"
641,5517,1008 Brass Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1008 Brass Street,"78,702",3,1,1,0,Single Family,Rental,Application Received,,,0,None,0,0,0,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.704386,30.26437,"(30.26437, -97.704386)"
641,5518,1008 Brass Street (ADU),Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1008 Brass Street,"78,702",3,1,1,0,ADU,Rental,Application Received,,,0,None,0,0,0,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.704386,30.26437,"(30.26437, -97.704386)"
12,3243,1009 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1009 E 10th Street,"78,702",1,1,1,,Duplex,Rental,Project Completed,2005,2025,20,None,,0,0,0,1,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,"60,000.00",0,0,0,"60,000.00",N/A,-97.73057811,30.26842833,"(30.26842833, -97.73057811)"
